SK_ID_CURR,EXT_SOURCE_2,EXT_SOURCE_3,CODE_GENDER,PAYMENT_RATE,DAYS_EMPLOYED,INSTAL_DPD_MEAN,PREV_CNT_PAYMENT_MEAN,NAME_EDUCATION_TYPE_Highereducation,DAYS_BIRTH,AMT_ANNUITY,TARGET
323797,0.7206181454142874,0.3523399726917038,0,0.0790026473296501,6.58,0.5555555555555556,8.0,1,56.6,24709.5,0.0
331250,0.3835006833090973,0.104119916429159,1,0.1062720848056537,5.65,0.2962962962962963,42.0,0,42.13,10827.0,0.0
113787,0.4756606491193007,,1,0.0641450844591848,9.63,3.1333333333333333,18.571428571428573,0,43.82,35509.5,0.0
324069,0.7416560130560459,0.6279908192952864,1,0.0451868072935287,12.41,0.0,5.0,0,41.98,45499.5,0.0
429895,0.1269875911356817,0.1500851762342935,0,0.0678953729281768,2.05,0.1111111111111111,23.333333333333332,0,47.18,35392.5,0.0
309432,0.7439120844743242,0.363945238612397,1,0.0645217391304347,,0.0,22.142857142857142,0,63.35,13356.0,0.0
237331,0.1778271390985923,0.5082869913916046,1,0.039786199413254,,0.0,12.0,1,63.78,40095.0,0.0
227491,0.6056257835662727,0.6832688314232291,1,0.0670923586454921,21.86,0.28,20.8,0,54.85,32908.5,0.0
437006,0.4729344312082383,0.7295666907060153,0,0.0484346224677716,,0.0,18.8,0,64.45,18936.0,0.0
280122,0.3327544398300137,0.6848276586890367,0,0.05,9.2,0.6666666666666666,18.0,0,38.72,9000.0,0.0
152571,0.6675304482487551,0.7421816117614419,1,0.0614409306507399,26.08,0.3611111111111111,15.0,0,46.22,30136.5,0.0
196613,0.4358695623384607,,1,0.05,,0.0,10.0,0,60.64,12375.0,0.0
249143,0.649969205459548,0.3328505641648731,0,0.1197142857142857,4.07,2.375,9.0,1,23.87,15084.0,0.0
410600,0.5875077316303821,0.5460231970049609,0,0.05,6.25,0.0,6.0,1,39.92,38250.0,0.0
199375,0.5735196252732798,,0,0.0381880088416601,,0.0,7.0,0,57.38,50067.0,0.0
337015,0.6154631606910256,0.4650692149562261,1,0.0701182893539581,,0.037037037037037,7.0,0,57.37,17338.5,0.0
439230,0.6966490004797327,0.4188542886233217,0,0.05,3.32,0.3902439024390244,5.625,0,29.81,13500.0,0.0
136607,0.6476522814275232,0.4329616670974407,0,0.0670857452966715,5.19,1.3548387096774193,11.0,0,26.79,33376.5,0.0
404562,0.5974914276249691,0.5673792367572691,0,0.0275729097502426,0.48,3.764705882352941,8.0,0,27.15,48586.5,0.0
155446,0.2126272918766771,0.1575949986663102,1,0.05,0.47,0.1764705882352941,11.333333333333334,1,37.81,12375.0,0.0
395446,0.7759839658035369,0.4101025731788671,1,0.0586283747566789,0.32,0.0,16.5,1,39.08,46759.5,0.0
162859,0.6091457049128101,0.3344541255096772,1,0.0542456548077486,0.5,1.911764705882353,13.5,0,30.82,54198.0,0.0
371730,0.4191303846899376,0.6109913280868294,1,0.053409933283914,6.27,0.0,10.0,0,52.63,51876.0,0.0
433974,0.2333402841210675,,1,0.0698761904761904,6.02,,0.0,0,46.09,33016.5,0.0
124682,0.5016255457985507,0.3996756156233169,1,0.0398283875580979,11.83,0.3272727272727272,5.0,0,36.54,30078.0,0.0
425375,0.6428921982382504,,1,0.1082363977485928,1.97,0.0,22.0,0,52.37,25960.5,0.0
402720,0.6678797828439774,,1,0.05,24.21,,,1,49.91,45000.0,0.0
373338,0.5475184367122218,0.4471785780453068,0,0.0465913429830955,,0.8076923076923077,18.0,0,65.03,24160.5,0.0
150757,0.4454848964711649,0.2580842039460289,0,0.0488771466314399,3.06,0.0,13.0,0,24.52,26640.0,0.0
187008,0.6281895480194958,,0,0.099437148217636,,0.0,9.0,0,68.81,23850.0,0.0
367616,0.6213561265806405,0.3457848024695955,0,0.0484761036857027,1.76,0.0,9.0,0,44.61,17235.0,0.0
240625,0.6134739044199051,0.8128226070575616,0,0.05,3.27,2.7777777777777777,18.0,0,60.18,42750.0,0.0
367369,0.5381249375445851,0.7738956942145427,0,0.0527650429799426,5.9,0.073170731707317,8.0,1,33.76,16573.5,0.0
179889,0.7041876537450665,0.6058362647264226,1,0.0425389221556886,,2.8823529411764706,18.0,1,63.01,31968.0,0.0
201925,0.3932032666922598,0.4543210601605785,0,0.0560140894335385,7.65,0.0,36.0,0,28.63,41076.0,0.0
184518,0.5826450815884858,0.1500851762342935,1,0.0818926296633303,0.88,2.3333333333333335,12.0,1,25.22,6075.0,0.0
140388,0.7343628518509218,,0,0.05,2.15,,,1,57.64,15750.0,0.0
148844,0.6690622642802974,0.5849900404894085,0,0.0451854304635761,11.82,0.5,8.4,0,31.76,30703.5,0.0
